record_type,id,device_id,sensor_id,reading_id,name,location,zone,ip_address,firmware,status,installed_date,type,unit,min_threshold,max_threshold,calibration_date,timestamp,value,alert_level,message,acknowledged,acknowledged_by
device,dev-001,,,,,Factory Floor Monitor,Building A Floor 1,zone-north,192.168.1.101,v2.4.1,online,2023-01-15,,,,,,,,,,
device,dev-002,,,,,Warehouse Controller,Building B Floor 1,zone-south,192.168.1.102,v2.4.1,online,2023-02-20,,,,,,,,,,
device,dev-003,,,,,HVAC Monitor,Building A Roof,zone-north,192.168.1.103,v2.3.8,maint,2022-11-10,,,,,,,,,,
device,dev-004,,,,,Assembly Line Unit,Building A Floor 2,zone-east,192.168.1.104,v2.4.2,online,2023-06-01,,,,,,,,,,
device,dev-005,,,,,Cold Storage Monitor,Building C Floor 1,zone-west,192.168.1.105,v2.4.0,error,2023-03-15,,,,,,,,,,
sensor,s-001,dev-001,,,,,,,,,,temperature,C,15.0,35.0,2024-01-10,,,,,,
sensor,s-002,dev-001,,,,,,,,,,humidity,pct,30.0,70.0,2024-01-10,,,,,,
sensor,s-003,dev-001,,,,,,,,,,pressure,Pa,99000,103000,2024-01-10,,,,,,
sensor,s-004,dev-002,,,,,,,,,,temperature,C,10.0,25.0,2024-01-12,,,,,,
sensor,s-005,dev-002,,,,,,,,,,humidity,pct,40.0,80.0,2024-01-12,,,,,,
sensor,s-006,dev-003,,,,,,,,,,temperature,C,-5.0,45.0,2023-12-05,,,,,,
sensor,s-007,dev-003,,,,,,,,,,fan_speed,rpm,500,3000,2023-12-05,,,,,,
sensor,s-008,dev-004,,,,,,,,,,vibration,mm,0.0,2.5,2024-02-01,,,,,,
sensor,s-009,dev-004,,,,,,,,,,motor_temp,C,20.0,80.0,2024-02-01,,,,,,
sensor,s-010,dev-004,,,,,,,,,,operational,bool,0,1,2024-02-01,,,,,,
sensor,s-011,dev-005,,,,,,,,,,temperature,C,-25.0,-15.0,2024-01-20,,,,,,
sensor,s-012,dev-005,,,,,,,,,,door_open,bool,0,1,2024-01-20,,,,,,
reading,r-001,,s-001,,,,,,,,,,,,,2024-06-15T08:00:00Z,22.4,none,,,
reading,r-002,,s-001,,,,,,,,,,,,,2024-06-15T08:15:00Z,22.6,none,,,
reading,r-003,,s-001,,,,,,,,,,,,,2024-06-15T08:30:00Z,23.1,none,,,
reading,r-004,,s-001,,,,,,,,,,,,,2024-06-15T08:45:00Z,24.8,none,,,
reading,r-005,,s-001,,,,,,,,,,,,,2024-06-15T09:00:00Z,26.2,none,,,
reading,r-006,,s-001,,,,,,,,,,,,,2024-06-15T09:15:00Z,28.5,none,,,
reading,r-007,,s-001,,,,,,,,,,,,,2024-06-15T09:30:00Z,31.2,none,,,
reading,r-008,,s-001,,,,,,,,,,,,,2024-06-15T09:45:00Z,33.8,none,,,
reading,r-009,,s-001,,,,,,,,,,,,,2024-06-15T10:00:00Z,36.1,warn,,,
reading,r-010,,s-001,,,,,,,,,,,,,2024-06-15T10:15:00Z,34.2,none,,,
reading,r-011,,s-002,,,,,,,,,,,,,2024-06-15T08:00:00Z,45.2,none,,,
reading,r-012,,s-002,,,,,,,,,,,,,2024-06-15T08:15:00Z,46.1,none,,,
reading,r-013,,s-002,,,,,,,,,,,,,2024-06-15T08:30:00Z,47.8,none,,,
reading,r-014,,s-002,,,,,,,,,,,,,2024-06-15T08:45:00Z,52.3,none,,,
reading,r-015,,s-002,,,,,,,,,,,,,2024-06-15T09:00:00Z,58.9,none,,,
reading,r-016,,s-002,,,,,,,,,,,,,2024-06-15T09:15:00Z,65.4,none,,,
reading,r-017,,s-002,,,,,,,,,,,,,2024-06-15T09:30:00Z,71.2,warn,,,
reading,r-018,,s-002,,,,,,,,,,,,,2024-06-15T09:45:00Z,68.5,none,,,
reading,r-019,,s-002,,,,,,,,,,,,,2024-06-15T10:00:00Z,62.1,none,,,
reading,r-020,,s-002,,,,,,,,,,,,,2024-06-15T10:15:00Z,55.8,none,,,
reading,r-021,,s-004,,,,,,,,,,,,,2024-06-15T08:00:00Z,18.2,none,,,
reading,r-022,,s-004,,,,,,,,,,,,,2024-06-15T08:15:00Z,18.5,none,,,
reading,r-023,,s-004,,,,,,,,,,,,,2024-06-15T08:30:00Z,19.1,none,,,
reading,r-024,,s-004,,,,,,,,,,,,,2024-06-15T08:45:00Z,19.8,none,,,
reading,r-025,,s-004,,,,,,,,,,,,,2024-06-15T09:00:00Z,20.4,none,,,
reading,r-026,,s-004,,,,,,,,,,,,,2024-06-15T09:15:00Z,21.2,none,,,
reading,r-027,,s-004,,,,,,,,,,,,,2024-06-15T09:30:00Z,22.8,none,,,
reading,r-028,,s-004,,,,,,,,,,,,,2024-06-15T09:45:00Z,24.1,none,,,
reading,r-029,,s-004,,,,,,,,,,,,,2024-06-15T10:00:00Z,25.6,warn,,,
reading,r-030,,s-004,,,,,,,,,,,,,2024-06-15T10:15:00Z,24.3,none,,,
reading,r-031,,s-008,,,,,,,,,,,,,2024-06-15T08:00:00Z,0.8,none,,,
reading,r-032,,s-008,,,,,,,,,,,,,2024-06-15T08:15:00Z,0.9,none,,,
reading,r-033,,s-008,,,,,,,,,,,,,2024-06-15T08:30:00Z,1.1,none,,,
reading,r-034,,s-008,,,,,,,,,,,,,2024-06-15T08:45:00Z,1.4,none,,,
